n_atoms,method,time,memory
28,prediction,46.9884147644043,499.167744
28,autograd,2408.815673828125,1204.831744
28,prediction,46.872318267822266,499.521536
28,autograd,2406.811279296875,1205.292032
28,prediction,46.83491134643555,499.167744
28,autograd,2410.579833984375,1201.616896
28,prediction,46.558528900146484,493.199872
28,autograd,2331.231201171875,1164.048384
28,prediction,47.757057189941406,498.520064
28,autograd,2393.324462890625,1194.28096
28,prediction,47.42729568481445,500.00896
28,autograd,2413.529052734375,1205.605376
28,prediction,45.57721710205078,478.857216
28,autograd,2155.552734375,1110.578176
29,prediction,48.82124710083008,515.890176
29,autograd,2676.862548828125,1264.340992
29,prediction,49.040382385253906,515.568128
29,autograd,2680.33544921875,1264.340992
29,prediction,48.737281799316406,515.820032
29,autograd,2668.25634765625,1266.453504
29,prediction,46.70556640625,494.488064
29,autograd,2423.99853515625,1171.083776
29,prediction,46.50214385986328,496.169472
29,autograd,2438.246337890625,1181.165568
29,prediction,46.97737503051758,494.689792
29,autograd,2438.66748046875,1179.904512
29,prediction,46.354366302490234,495.276544
29,autograd,2409.3603515625,1172.104192
29,prediction,47.571678161621094,494.089216
29,autograd,2414.914306640625,1169.275392
29,prediction,45.97884750366211,494.667776
29,autograd,2410.132568359375,1169.275392
29,prediction,47.713279724121094,499.808768
29,autograd,2507.9541015625,1209.874944
30,prediction,49.247230529785156,519.609344
30,autograd,2786.765625,1282.848768
30,prediction,48.39628982543945,516.604928
30,autograd,2772.28955078125,1272.643072
30,prediction,48.94803237915039,518.822912
30,autograd,2783.251220703125,1281.877504
30,prediction,46.283870697021484,486.72768
30,autograd,2412.654541015625,1153.56928
30,prediction,45.54956817626953,486.856192
30,autograd,2409.945068359375,1149.90336
30,prediction,45.66835021972656,485.102592
30,autograd,2396.210205078125,1145.867776
30,prediction,48.0654411315918,505.891328
30,autograd,2657.565673828125,1232.91392
30,prediction,47.31804656982422,505.977856
30,autograd,2653.5146484375,1231.711744
30,prediction,47.90137481689453,508.206592
30,autograd,2657.94775390625,1238.363136
30,prediction,49.855201721191406,533.183488
30,autograd,2983.02490234375,1342.357504
31,prediction,48.51411056518555,505.530368
31,autograd,2754.793212890625,1239.357952
31,prediction,47.682559967041016,505.530368
31,autograd,2755.50830078125,1239.392768
31,prediction,47.045921325683594,506.0736
31,autograd,2750.91455078125,1234.072064
31,prediction,48.74528121948242,512.346624
31,autograd,2805.9638671875,1262.132736
31,prediction,48.672767639160156,512.992256
31,autograd,2852.16455078125,1269.696512
31,prediction,49.501312255859375,517.79072
31,autograd,2894.41357421875,1286.530048
31,prediction,49.89561462402344,524.2752
31,autograd,2978.66845703125,1316.86656
31,prediction,48.886783599853516,524.101632
31,autograd,2970.675537109375,1317.684736
31,prediction,51.113983154296875,528.094208
31,autograd,3042.287353515625,1334.928896
31,prediction,48.147457122802734,508.288512
31,autograd,2766.49462890625,1250.254848
32,prediction,52.92544174194336,537.218048
32,autograd,3259.87744140625,1380.54656
32,prediction,51.4815673828125,538.811904
32,autograd,3275.888671875,1383.121408
32,prediction,50.104190826416016,537.441792
32,autograd,3242.681396484375,1376.869888
32,prediction,50.35331344604492,525.053952
32,autograd,3091.977294921875,1329.223168
32,prediction,50.61430358886719,530.477568
32,autograd,3150.51220703125,1352.388096
32,prediction,50.04800033569336,530.475008
32,autograd,3148.17529296875,1352.388096
32,prediction,49.68822479248047,521.836032
32,autograd,3036.170166015625,1306.971648
32,prediction,49.40079879760742,521.087488
32,autograd,3024.41259765625,1305.669632
32,prediction,49.00227355957031,520.042496
32,autograd,3034.7744140625,1303.740928
32,prediction,51.38246536254883,542.285824
32,autograd,3298.9580078125,1399.821312
33,prediction,51.58265686035156,545.165824
33,autograd,3451.568115234375,1415.444992
33,prediction,51.700416564941406,546.099712
33,autograd,3471.31591796875,1423.39072
33,prediction,51.871742248535156,548.073984
33,autograd,3483.727783203125,1435.057152
