method,batch_size,replicate_index,time_milliseconds,time_per_sample_milliseconds,peak_memory_gigabytes
HIP,4,3,52.39072036743164,13.09768009185791,5.34850048e-07
HIP,4,4,46.683326721191406,11.670831680297852,4.79472128e-07
HIP,4,5,54.69907379150391,13.674768447875978,5.583303680000001e-07
HIP,4,6,47.9853744506836,11.9963436126709,4.97001472e-07
HIP,4,7,52.07244873046875,13.018112182617188,5.3426944e-07
HIP,4,8,47.52816009521485,11.882040023803713,4.91607552e-07
HIP,4,9,42.03007888793945,10.507519721984863,4.50642432e-07
HIP,5,0,51.57075119018555,10.31415023803711,5.231718399999999e-07
HIP,5,1,57.835391998291016,11.567078399658204,5.845985279999999e-07
HIP,5,2,59.88623809814453,11.977247619628907,5.99562752e-07
HIP,5,3,53.43526458740234,10.687052917480468,5.42121472e-07
HIP,5,4,46.06140899658203,9.212281799316406,4.84166656e-07
HIP,5,5,59.15155029296875,11.83031005859375,5.89640704e-07
HIP,5,6,57.99731063842773,11.599462127685545,5.77691648e-07
HIP,5,7,56.58316802978516,11.316633605957033,5.771023360000001e-07
HIP,5,8,57.372894287109375,11.474578857421875,5.825797119999999e-07
HIP,5,9,55.09020614624024,11.018041229248048,5.512197119999999e-07
HIP,6,0,55.99641418457031,9.332735697428385,5.54469888e-07
HIP,6,1,74.63350677490234,12.438917795817057,7.24179456e-07
HIP,6,2,53.71599960327149,8.952666600545248,5.495224319999999e-07
HIP,6,3,63.4002571105957,10.566709518432617,6.2635776e-07
HIP,6,4,62.18937683105469,10.364896138509115,6.129838079999999e-07
HIP,6,5,55.14275360107422,9.19045893351237,5.52976896e-07
HIP,6,6,61.29663848876953,10.216106414794922,6.11206656e-07
HIP,6,7,59.56713485717773,9.927855809529621,5.9340032e-07
HIP,6,8,61.64582443237305,10.274304072062174,6.18151424e-07
HIP,6,9,62.25104141235352,10.375173568725588,6.134016e-07
HIP,7,0,75.02220916748047,10.71745845249721,7.20922112e-07
HIP,7,1,62.71795272827149,8.959707532610214,6.1899264e-07
HIP,7,2,65.72441864013672,9.389202662876674,6.3773696e-07
HIP,7,3,62.959617614746094,8.99423108782087,6.199075840000001e-07
HIP,7,4,63.77788925170898,9.111127035958425,6.29786112e-07
HIP,7,5,61.69404983520508,8.813435690743583,6.030602239999999e-07
HIP,7,6,68.26598358154297,9.752283368791852,6.59101696e-07
HIP,7,7,62.609153747558594,8.944164821079799,6.22295552e-07
HIP,7,8,64.28569793701172,9.183671133858818,6.29349888e-07
HIP,7,9,62.03267288208008,8.861810411725726,6.11095552e-07
HIP,8,0,75.63168334960938,9.453960418701172,7.23817984e-07
HIP,8,1,69.55452728271484,8.694315910339355,6.72297984e-07
HIP,8,2,64.20345306396484,8.025431632995605,6.26044416e-07
HIP,8,3,69.79993438720703,8.724991798400879,6.692792319999999e-07
HIP,8,4,63.34352111816406,7.917940139770508,6.22375424e-07
HIP,8,5,67.64742279052734,8.455927848815918,6.494796800000001e-07
HIP,8,6,72.99378967285156,9.124223709106445,6.9523456e-07
HIP,8,7,78.9480972290039,9.868512153625488,7.391155199999999e-07
HIP,8,8,71.2010269165039,8.900128364562988,6.76815872e-07
HIP,8,9,75.64697265625,9.45587158203125,7.10554112e-07
HIP,16,0,117.7896957397461,7.361855983734131,1.014152192e-06
HIP,16,1,117.45382690429688,7.340864181518555,1.013366272e-06
HIP,16,2,127.2485122680664,7.95303201675415,1.0784363519999999e-06
HIP,16,3,129.12535095214844,8.070334434509277,1.0872033280000002e-06
HIP,16,4,113.57389068603516,7.098368167877197,9.709608960000001e-07
HIP,16,5,114.0871353149414,7.130445957183838,9.83478272e-07
HIP,16,6,117.24176025390624,7.32761001586914,1.009869824e-06
HIP,16,7,106.78067016601562,6.673791885375977,9.166161919999999e-07
HIP,16,8,115.77439880371094,7.235899925231934,9.944775680000001e-07
HIP,16,9,140.224609375,8.7640380859375,1.17028864e-06
HIP,32,0,240.9911346435547,7.530972957611084,1.813395456e-06
HIP,32,1,242.1153259277344,7.5661039352417,1.82413824e-06
HIP,32,2,226.42483520507807,7.07577610015869,1.720925696e-06
HIP,32,3,219.8865966796875,6.871456146240234,1.662716416e-06
HIP,32,4,206.3192901611328,6.4474778175354,1.577740288e-06
HIP,32,5,230.0149688720703,7.187967777252197,1.741146112e-06
HIP,32,6,233.5490875244141,7.29840898513794,1.761858048e-06
HIP,32,7,245.8749084472656,7.68359088897705,1.8578401280000001e-06
HIP,32,8,218.8554229736328,6.839231967926025,1.662788096e-06
HIP,32,9,204.70477294921875,6.397024154663086,1.566341632e-06
HIP,64,0,432.6748046875,6.7605438232421875,3.049808384e-06
HIP,64,1,402.6944580078125,6.29210090637207,2.844278784e-06
HIP,64,2,438.8462524414063,6.8569726943969735,3.096764416e-06
HIP,64,3,442.1997985839844,6.909371852874756,3.117664256e-06
HIP,64,4,441.596923828125,6.899951934814453,3.113030656e-06
HIP,64,5,441.689208984375,6.901393890380859,3.1158773759999998e-06
HIP,64,6,432.4546508789063,6.757103919982911,3.049483264e-06
HIP,64,7,430.4278869628906,6.725435733795166,3.0412216320000003e-06
HIP,64,8,452.5435485839844,7.070992946624756,3.1848499200000002e-06
HIP,64,9,435.5808715820313,6.805951118469239,3.062208512e-06
