model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
EquiformerV2 AD with Hessian training,21985,162,11,0.0369841083884239,0.1355886757373809
EquiformerV2 AD with Hessian training,38182,163,12,0.0029243417084217,0.0356486067175865
EquiformerV2 AD with Hessian training,27797,164,17,0.0194120556116104,0.0435695685446262
EquiformerV2 AD with Hessian training,43778,165,16,0.0051606721244752,0.0279885400086641
EquiformerV2 AD with Hessian training,29497,166,14,0.0164522565901279,0.0544812642037868
EquiformerV2 AD with Hessian training,26366,167,14,0.0063404873944818,0.0316164419054985
EquiformerV2 AD with Hessian training,42414,168,12,0.026346543803811,0.1494244039058685
EquiformerV2 AD with Hessian training,37769,169,13,0.0119409495964646,0.0451618432998657
EquiformerV2 AD with Hessian training,25791,170,17,0.0056443843059241,0.0227612257003784
EquiformerV2 AD with Hessian training,29429,171,11,0.0075868838466703,0.0459497906267643
EquiformerV2 AD with Hessian training,27678,172,11,0.0052316300570964,0.0395139567553997
EquiformerV2 AD with Hessian training,24975,173,16,0.005443088710308,0.0319377519190311
EquiformerV2 AD with Hessian training,31191,174,15,0.0211561080068349,0.0676781013607978
EquiformerV2 AD with Hessian training,42950,175,14,0.009297682903707,0.0420418046414852
EquiformerV2 AD with Hessian training,12290,176,13,0.0051284455694258,0.0356652736663818
EquiformerV2 AD with Hessian training,39798,177,13,0.0087748365476727,0.0370728150010108
EquiformerV2 AD with Hessian training,38512,178,16,0.0112448390573263,0.0297823622822761
EquiformerV2 AD with Hessian training,22016,179,16,0.0029725830536335,0.0121552608907222
EquiformerV2 AD with Hessian training,21896,180,16,0.0025622972752898,0.0135748153552412
EquiformerV2 AD with Hessian training,5892,181,17,0.0115130254998803,0.0360343419015407
EquiformerV2 AD with Hessian training,34711,182,13,0.0115581220015883,0.043001502752304
EquiformerV2 AD with Hessian training,35764,183,14,0.0106970565393567,0.0409543924033641
EquiformerV2 AD with Hessian training,27724,184,16,0.0053268512710928,0.0271750595420599
EquiformerV2 AD with Hessian training,31310,185,16,0.0055905892513692,0.045020867139101
EquiformerV2 AD with Hessian training,5165,186,12,0.0060120918788015,0.0361455231904983
EquiformerV2 AD with Hessian training,2441,187,12,0.0247571188956499,0.062650054693222
EquiformerV2 AD with Hessian training,48282,188,17,0.01622817479074,0.0370809286832809
EquiformerV2 AD with Hessian training,34553,189,14,0.0071826302446424,0.0587087869644165
EquiformerV2 AD with Hessian training,3806,190,14,0.0097415586933493,0.0349556170403957
EquiformerV2 AD with Hessian training,22661,191,12,0.015151378698647,0.0952762812376022
EquiformerV2 AD with Hessian training,21336,192,13,0.0184372998774051,0.0724748522043228
EquiformerV2 AD with Hessian training,44803,193,12,0.007777371443808,0.0344676375389099
EquiformerV2 AD with Hessian training,9796,194,9,0.019074847921729,0.1108263880014419
EquiformerV2 AD with Hessian training,20121,195,16,0.0111799258738756,0.0447347313165664
EquiformerV2 AD with Hessian training,28069,196,12,0.0039897984825074,0.0275409612804651
EquiformerV2 AD with Hessian training,31496,197,10,0.0226660780608654,0.2169432640075683
EquiformerV2 AD with Hessian training,30100,198,17,0.0047041201032698,0.0187470111995935
EquiformerV2 AD with Hessian training,44223,199,10,0.0245283469557762,0.1410237699747085
EquiformerV2 AD with Hessian training,21266,200,19,0.0043836184777319,0.0136278998106718
