model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,20894,4332,9,0.0290607679635286,3.8266327381134033
Energy-force-only EquiformerV2 AD,18710,4333,8,0.0744939967989921,4.434278964996338
Energy-force-only EquiformerV2 AD,47175,4334,16,0.0113074705004692,1.8953548669815063
Energy-force-only EquiformerV2 AD,35112,4335,9,0.0426157414913177,2.029284715652466
Energy-force-only EquiformerV2 AD,19311,4336,10,0.0202355999499559,5.110985279083252
Energy-force-only EquiformerV2 AD,48414,4337,15,0.0058239847421646,2.037639141082764
Energy-force-only EquiformerV2 AD,19299,4338,9,0.0138046788051724,3.4144349098205566
Energy-force-only EquiformerV2 AD,22233,4339,19,0.0129764545708894,1.0472397804260254
Energy-force-only EquiformerV2 AD,8163,4340,17,0.0276544392108917,1.319243311882019
Energy-force-only EquiformerV2 AD,29772,4341,14,0.0296338461339473,2.155576229095459
Energy-force-only EquiformerV2 AD,9937,4342,17,0.0063209244981408,1.5328339338302612
Energy-force-only EquiformerV2 AD,49525,4343,15,0.0452079847455024,1.6550456285476685
Energy-force-only EquiformerV2 AD,46398,4344,13,0.0357356965541839,2.47696304321289
Energy-force-only EquiformerV2 AD,25783,4345,13,0.0376240275800228,2.58816909790039
Energy-force-only EquiformerV2 AD,26460,4346,10,0.0336657613515853,3.0695595741271973
Energy-force-only EquiformerV2 AD,50462,4347,14,0.0226947702467441,2.432074069976806
Energy-force-only EquiformerV2 AD,14551,4348,15,0.0253713428974151,2.334266424179077
Energy-force-only EquiformerV2 AD,6489,4349,16,0.0044213156215846,1.5164670944213867
Energy-force-only EquiformerV2 AD,13051,4350,17,0.0036488235928118,1.672376275062561
Energy-force-only EquiformerV2 AD,15872,4351,16,0.0076832501217722,2.173081398010254
Energy-force-only EquiformerV2 AD,38930,4352,12,0.0192848779261112,2.944735050201416
Energy-force-only EquiformerV2 AD,35984,4353,14,0.0162864066660404,1.6346518993377686
Energy-force-only EquiformerV2 AD,27072,4354,15,0.0104720704257488,2.3667471408843994
Energy-force-only EquiformerV2 AD,32607,4355,9,0.0322978161275386,3.0502400398254395
Energy-force-only EquiformerV2 AD,36415,4356,10,0.0211086478084325,3.239772319793701
Energy-force-only EquiformerV2 AD,7708,4357,12,0.0113196540623903,2.7921948432922363
Energy-force-only EquiformerV2 AD,30384,4358,13,0.0252778865396976,2.2550272941589355
Energy-force-only EquiformerV2 AD,42296,4359,16,0.0112486882135272,1.8058751821517944
Energy-force-only EquiformerV2 AD,2112,4360,13,0.0236784294247627,3.115370512008667
Energy-force-only EquiformerV2 AD,24385,4361,15,0.0746447294950485,2.0385522842407227
Energy-force-only EquiformerV2 AD,26696,4362,13,0.0576699338853359,1.7227821350097656
Energy-force-only EquiformerV2 AD,8133,4363,10,0.0741396993398666,3.037748098373413
Energy-force-only EquiformerV2 AD,43854,4364,14,0.0142646403983235,2.070740222930908
Energy-force-only EquiformerV2 AD,32317,4365,13,0.0208776369690895,2.1130688190460205
Energy-force-only EquiformerV2 AD,16640,4366,15,0.022105686366558,2.584139108657837
Energy-force-only EquiformerV2 AD,43068,4367,16,0.0100337928161025,1.402212381362915
Energy-force-only EquiformerV2 AD,25821,4368,12,0.0096957897767424,2.384076833724976
Energy-force-only EquiformerV2 AD,34461,4369,17,0.0411777310073375,0.9596826434135436
Energy-force-only EquiformerV2 AD,46427,4370,12,0.0226761009544134,2.646580934524536
Energy-force-only EquiformerV2 AD,10256,4371,11,0.0107447309419512,2.638813018798828
Energy-force-only EquiformerV2 AD,13111,4372,16,0.0640134364366531,2.5910332202911377
Energy-force-only EquiformerV2 AD,30317,4373,10,0.0458805039525032,4.897258758544922
Energy-force-only EquiformerV2 AD,12106,4374,14,0.0067804087884724,1.999086141586304
Energy-force-only EquiformerV2 AD,41247,4375,12,0.0081379069015383,3.738664150238037
Energy-force-only EquiformerV2 AD,3608,4376,19,0.0046473694965243,1.4233133792877195
Energy-force-only EquiformerV2 AD,7954,4377,14,0.0065389960072934,2.9807074069976807
Energy-force-only EquiformerV2 AD,13618,4378,19,0.0084916800260543,0.8124169707298279
Energy-force-only EquiformerV2 AD,26461,4379,15,0.0319591984152793,0.8723812699317932
Energy-force-only EquiformerV2 AD,50541,4380,14,0.0124995624646544,2.47868275642395
Energy-force-only EquiformerV2 AD,5771,4381,10,0.0872239768505096,2.860661029815674
Energy-force-only EquiformerV2 AD,27560,4382,14,0.014573361724615,1.8311313390731807
Energy-force-only EquiformerV2 AD,33841,4383,17,0.0147988405078649,1.427628517150879
Energy-force-only EquiformerV2 AD,25454,4384,18,0.0094209490343928,1.6243077516555786
Energy-force-only EquiformerV2 AD,23760,4385,12,0.0191057417541742,1.71826434135437
Energy-force-only EquiformerV2 AD,43146,4386,10,0.0501584559679031,1.4276838302612305
Energy-force-only EquiformerV2 AD,32710,4387,17,0.0056992666795849,1.6679260730743408
Energy-force-only EquiformerV2 AD,15526,4388,12,0.0055159828625619,2.5376665592193604
Energy-force-only EquiformerV2 AD,48728,4389,14,0.009193024598062,2.2357101440429688
Energy-force-only EquiformerV2 AD,10159,4390,19,0.0332909561693668,1.2944082021713257
Energy-force-only EquiformerV2 AD,14084,4391,13,0.0209674462676048,2.1373631954193115
Energy-force-only EquiformerV2 AD,45181,4392,13,0.0124376285821199,1.931754350662232
Energy-force-only EquiformerV2 AD,5194,4393,14,0.0228501968085765,1.4094656705856323
Energy-force-only EquiformerV2 AD,17363,4394,13,0.0123003311455249,2.176469326019287
Energy-force-only EquiformerV2 AD,15785,4395,12,0.0075010084547102,2.784373044967652
Energy-force-only EquiformerV2 AD,33571,4396,14,0.0188877433538436,2.3257274627685547
Energy-force-only EquiformerV2 AD,35860,4397,13,0.0073666418902575,2.0983591079711914
Energy-force-only EquiformerV2 AD,27808,4398,15,0.0075980951078236,2.053633689880371
Energy-force-only EquiformerV2 AD,40732,4399,15,0.0049029346555471,2.1512258052825928
Energy-force-only EquiformerV2 AD,1425,4400,11,0.0154140414670109,1.9817582368850708
Energy-force-only EquiformerV2 AD,980,4401,17,0.0056802229955792,1.7196698188781738
Energy-force-only EquiformerV2 AD,26089,4402,16,0.0384496673941612,2.535796403884888
Energy-force-only EquiformerV2 AD,26164,4403,15,0.0057271653786301,1.8271008729934688
Energy-force-only EquiformerV2 AD,7343,4404,14,0.0102857695892453,2.607867956161499
Energy-force-only EquiformerV2 AD,39717,4405,8,0.0145389046519994,4.424907684326172
Energy-force-only EquiformerV2 AD,40954,4406,16,0.0157057978212833,2.140428304672241
Energy-force-only EquiformerV2 AD,24943,4407,14,0.016451196745038,1.760783076286316
Energy-force-only EquiformerV2 AD,20771,4408,16,0.0195696763694286,1.9164246320724487
Energy-force-only EquiformerV2 AD,4132,4409,16,0.0058529516682028,2.2789194583892822
Energy-force-only EquiformerV2 AD,3397,4410,17,0.0082769999280571,1.328600287437439
Energy-force-only EquiformerV2 AD,38881,4411,10,0.0271738283336162,2.3323850631713867
Energy-force-only EquiformerV2 AD,27506,4412,10,0.0487823002040386,3.610588788986206
Energy-force-only EquiformerV2 AD,39935,4413,14,0.0082668410614132,2.184577226638794
Energy-force-only EquiformerV2 AD,11837,4414,14,0.0274332091212272,1.9161802530288696
Energy-force-only EquiformerV2 AD,28162,4415,14,0.0195672679692506,1.7155784368515017
Energy-force-only EquiformerV2 AD,30450,4416,14,0.0126528171822428,2.4203810691833496
Energy-force-only EquiformerV2 AD,34737,4417,17,0.006399976555258,1.918471097946167
Energy-force-only EquiformerV2 AD,16986,4418,14,0.0193908903747797,0.8803116679191589
