name,converged,steps,grad_calls,hessian_calls,energy_calls,calculate_calls,calculate_energy_calls,calculate_gradient_calls,calculate_hessian_calls,cnt_not_pd,wall_time_s,dft_hessian_is_pd,sample_index,coord,source
RFO (autograd),False,149,150,150,0,0,0,0,0,147,44.713118532003136,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,4,4,5,0,0,0,0,0,5,5.417981812992366,False,10,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.072389029985061,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,68,69,0,0,0,0,0,0,0,1.8170195210259408,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,15,16,0,0,0,0,0,0,0,0.4426012290059589,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,8,9,0,0,0,0,0,0,0,0.2520325299992692,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1278343570011202,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,18,19,0,0,0,0,0,0,0,0.6297616740048397,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,3,3,4,0,0,0,0,0,4,0.2655761080095544,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,44.86725367998588,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,7,7,8,0,0,0,0,0,8,8.664169340016088,False,11,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.079563462000806,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,42,43,0,0,0,0,0,0,0,1.169068866991438,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,10,11,0,0,0,0,0,0,0,0.3099939630192239,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,7,8,0,0,0,0,0,0,0,0.2233077179989777,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1269221210095565,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4475106789905112,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,2,2,3,0,0,0,0,0,3,0.1807049729977734,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,44.82562252500793,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,23,23,24,0,0,0,0,0,24,26.36151939898264,False,12,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.001783379993867,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,66,67,0,0,0,0,0,0,0,1.7736265409912448,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,13,14,0,0,0,0,0,0,0,0.4006696889991872,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,5,6,0,0,0,0,0,0,0,0.1812863389786798,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1321059619949665,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.4701562449918128,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,5,5,6,0,0,0,0,0,6,0.3959907829994336,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,44.78846860898193,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),True,100,100,101,0,0,0,0,0,101,110.3710715950001,False,13,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.393359289999353,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,67,68,0,0,0,0,0,0,0,1.952454394981032,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,20,21,0,0,0,0,0,0,0,0.6310756920138374,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,15,16,0,0,0,0,0,0,0,0.5042951089853887,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,8,8,1,0,0,0,0,0,1,0.299444426986156,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,11,12,0,0,0,0,0,0,0,0.4170271400071215,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3551884829939808,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,65.16637501199148,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,264.13104349101195,False,14,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.261757456988562,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,69,70,0,0,0,0,0,0,0,2.0473221730208024,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,20,21,0,0,0,0,0,0,0,0.652028265001718,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,10,11,0,0,0,0,0,0,0,0.3458705410012044,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,7,7,1,0,0,0,0,0,1,0.2585386270075105,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,42,43,0,0,0,0,0,0,0,1.5225138319947291,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,4,4,5,0,0,0,0,0,5,0.3427293759887106,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,65.1614876940148,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,263.5559150550107,False,15,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.397005992999766,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,49,50,0,0,0,0,0,0,0,1.4464607429981695,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,10,11,0,0,0,0,0,0,0,0.3368127310241107,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,11,12,0,0,0,0,0,0,0,0.3991752510191872,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,11,11,1,0,0,0,0,0,1,0.3878861749835778,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.66074841999216,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,5,5,6,0,0,0,0,0,6,0.431010187981883,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,71.24832733601215,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,292.1593447579944,False,16,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.384948366991011,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,73,74,0,0,0,0,0,0,0,2.2007696430082437,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,20,21,0,0,0,0,0,0,0,0.6883136140240822,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,13,14,0,0,0,0,0,0,0,0.4651023460028227,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,6,6,1,0,0,0,0,0,1,0.2342010660213418,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,32,33,0,0,0,0,0,0,0,1.1889187030028552,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,12,12,13,0,0,0,0,0,13,0.9497159220045432,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,148,71.37073779699858,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,291.2871730719926,False,17,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.4383312390127685,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,61,62,0,0,0,0,0,0,0,1.799908243003301,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,26,27,0,0,0,0,0,0,0,0.8277650859963614,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,10,11,0,0,0,0,0,0,0,0.3651740170025732,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1421207410166971,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,14,15,0,0,0,0,0,0,0,0.5143696669838391,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,6,6,7,0,0,0,0,0,7,0.513204588991357,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,150,71.24745719900238,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,292.3182551439968,False,18,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.384379548981087,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,65,66,0,0,0,0,0,0,0,1.8978869510174263,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,24,25,0,0,0,0,0,0,0,0.7933361199975479,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,10,11,0,0,0,0,0,0,0,0.3862620209984015,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,3,3,1,0,0,0,0,0,1,0.1472079579834826,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,12,13,0,0,0,0,0,0,0,0.4738975510117598,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,16,16,17,0,0,0,0,0,17,1.2977965099853463,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (autograd),False,149,150,150,0,0,0,0,0,149,71.45191163400887,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (NumHess),False,149,150,150,0,0,0,0,0,150,292.57322792499326,False,19,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
NaiveSteepestDescent,False,149,151,0,0,0,0,0,0,0,4.309632963006152,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
FIRE,True,53,54,0,0,0,0,0,0,0,1.5568527269933838,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (unit init),True,12,13,0,0,0,0,0,0,0,0.42059298499953,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (NumHess init),True,12,13,0,0,0,0,0,0,0,0.4359551849775016,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (learned init),True,4,4,1,0,0,0,0,0,1,0.1843258840090129,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO-BFGS (autograd init),True,12,13,0,0,0,0,0,0,0,0.4712059230078012,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
RFO (learned),True,9,9,10,0,0,0,0,0,10,0.7515016790130176,False,20,redund,t1x_val_reactant_hessian_100_tight2_noiserms0
