sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
193,16,629.6043701171875,1018.697216,11391.07421875,711.942138671875,0.8818661570549011,1.3838212490081787,0.5917865037918091,7.40281175239943e-05,13.447992324829102,3,0,0,0,1,4,0,0,0,1,0,"tensor(4.8859, dtype=torch.float64)","tensor(0.0690, dtype=torch.float64)","tensor(0.1524, dtype=torch.float64)","tensor(0.3787, dtype=torch.float64)","tensor(0.0356, dtype=torch.float64)",557.2255712335196,
194,20,1063.251953125,1114.719744,9438.7890625,471.939453125,0.49665242433547974,1.057475209236145,0.5116938352584839,9.514579687674996e-06,11.250118255615234,3,0,0,0,1,6,0,0,0,1,0,"tensor(5.0478, dtype=torch.float64)","tensor(0.2927, dtype=torch.float64)","tensor(0.2633, dtype=torch.float64)","tensor(0.0243, dtype=torch.float64)","tensor(0.2251, dtype=torch.float64)",1188.8669704130054,
195,22,1303.20068359375,1334.234112,12073.091796875,548.7769165039062,0.5809499621391296,0.9422580599784851,0.4851031005382538,1.697455627436284e-05,12.122838020324707,5,0,0,0,1,7,0,0,0,1,0,"tensor(5.1835, dtype=torch.float64)","tensor(0.0112, dtype=torch.float64)","tensor(0.2950, dtype=torch.float64)","tensor(0.7837, dtype=torch.float64)","tensor(0.0053, dtype=torch.float64)",1331.908692334147,
196,28,2013.4981689453125,1546.896384,12632.8740234375,451.1741027832031,0.66817706823349,0.8274174332618713,0.40718719363212585,1.0060133718070574e-05,14.129416465759277,7,0,0,0,1,10,0,0,0,1,0,"tensor(5.8820, dtype=torch.float64)","tensor(1.3733, dtype=torch.float64)","tensor(0.4413, dtype=torch.float64)","tensor(0.0407, dtype=torch.float64)","tensor(0.6700, dtype=torch.float64)",840.1768037964391,
197,23,1469.359130859375,1562.741248,11518.3271484375,500.7968444824219,0.5844794511795044,0.9132906794548035,0.46372470259666443,2.986011895700358e-05,13.0751371383667,4,0,0,0,1,8,0,0,0,1,0,"tensor(5.4883, dtype=torch.float64)","tensor(0.2663, dtype=torch.float64)","tensor(0.4477, dtype=torch.float64)","tensor(0.2810, dtype=torch.float64)","tensor(0.1257, dtype=torch.float64)",1503.7909013160438,
198,24,1579.055419921875,1505.021952,14683.65234375,611.81884765625,0.5454217195510864,0.9437082409858704,0.504440188407898,1.1599577192100696e-05,14.020172119140625,4,0,0,0,1,8,0,0,0,1,0,"tensor(5.5144, dtype=torch.float64)","tensor(1.4799, dtype=torch.float64)","tensor(0.7476, dtype=torch.float64)","tensor(0.0360, dtype=torch.float64)","tensor(0.0875, dtype=torch.float64)",1564.263684108021,
199,20,1084.1314697265625,1376.681472,10457.7158203125,522.8858032226562,0.46994099020957947,0.9899939298629761,0.527686595916748,1.3873637726646848e-05,11.159571647644043,3,0,0,0,1,5,0,0,0,1,0,"tensor(4.9249, dtype=torch.float64)","tensor(0.9085, dtype=torch.float64)","tensor(0.6143, dtype=torch.float64)","tensor(0.8582, dtype=torch.float64)","tensor(0.1825, dtype=torch.float64)",887.5112565840574,
200,23,1351.51513671875,1317.812224,11616.2392578125,505.05389404296875,0.32689809799194336,0.7301321625709534,0.3928244113922119,8.82875519891968e-06,11.085819244384766,2,0,0,1,0,8,0,0,0,1,0,"tensor(4.6515, dtype=torch.float64)","tensor(0.8878, dtype=torch.float64)","tensor(0.6156, dtype=torch.float64)","tensor(0.6191, dtype=torch.float64)","tensor(0.0714, dtype=torch.float64)",839.5445156937934,
201,21,1198.4742431640625,1348.007424,12502.2509765625,595.3452758789062,0.5324597954750061,0.9981593489646912,0.5472991466522217,1.3183432201913092e-05,11.819782257080078,2,0,0,1,0,5,0,0,0,1,0,"tensor(4.8764, dtype=torch.float64)","tensor(1.0970, dtype=torch.float64)","tensor(0.5075, dtype=torch.float64)","tensor(0.2341, dtype=torch.float64)","tensor(0.2003, dtype=torch.float64)",1150.8696267142398,
202,19,927.260498046875,1246.107136,10877.2822265625,572.488525390625,0.8084155917167664,1.1144176721572876,0.5073539018630981,1.4777347132621799e-05,11.854913711547852,2,0,0,1,0,4,0,0,0,1,0,"tensor(4.9039, dtype=torch.float64)","tensor(0.3527, dtype=torch.float64)","tensor(0.1804, dtype=torch.float64)","tensor(0.0107, dtype=torch.float64)","tensor(0.0258, dtype=torch.float64)",655.052758195433,
