model,number_of_atoms,eckart_eigenvalue_mae_eV_per_angstrom2,sample_index,outlier_filter_hessian_mae_eV_per_angstrom2,outlier
HIP,16,0.0092705561399175,349,0.0109890578314661,False
HIP,14,0.0512278262009043,350,0.0865210443735122,False
HIP,8,0.0211355832306037,351,0.0367965139448642,False
HIP,18,0.0127605437343404,352,0.0226229447871446,False
HIP,20,0.0276874274363554,353,0.0274751670658588,False
HIP,21,0.0381808133305932,354,0.0479205884039402,False
HIP,16,0.0137295230394035,355,0.0164637435227632,False
HIP,19,0.0422713690565167,356,0.0380416475236415,False
HIP,12,0.0787901235289146,357,0.1574287712574005,False
HIP,15,0.0204749118580599,358,0.0194913931190967,False
HIP,14,0.0387938117240405,359,0.0804569348692894,False
HIP,16,0.0252565328069907,360,0.0305746141821146,False
HIP,13,0.1672155886944159,361,0.2837117314338684,False
HIP,16,0.0528965639845546,362,0.1048574596643447,False
HIP,19,0.0216819923214427,363,0.0254273880273103,False
HIP,19,0.0613651711442129,364,0.0942243784666061,False
HIP,16,0.0460995836393308,365,0.0492878817021846,False
HIP,23,0.0130302730845522,366,0.0104656415060162,False
HIP,17,0.0338550395079155,367,0.0544047057628631,False
HIP,20,0.0266775332184907,368,0.0191148910671472,False
HIP,11,0.0489871253061872,369,0.0585352070629596,False
HIP,8,0.0261245955910404,370,0.1334770619869232,False
HIP,22,0.0096194361383151,371,0.0129963001236319,False
HIP,25,0.0180249522443515,372,0.0142784835770726,False
HIP,19,0.0160451430819199,373,0.0209632460027933,False
HIP,16,0.0317004606156251,374,0.0815959498286247,False
HIP,20,0.0162713214944725,375,0.0272412206977605,False
HIP,12,0.0353285681957766,376,0.0607808679342269,False
HIP,14,0.0151845246699829,377,0.0327330566942691,False
HIP,17,0.0388536073754787,378,0.0656699985265731,False
HIP,23,0.0125264209358117,379,0.014240562915802,False
HIP,9,0.0456015902674248,380,0.0543598979711532,False
HIP,10,0.1155664928620988,381,0.2810429036617279,False
HIP,16,0.0315408587344172,382,0.0398272611200809,False
HIP,21,0.0710122290162674,383,0.0647329911589622,False
HIP,12,0.0350464350221584,384,0.0971622392535209,False
HIP,29,0.0128657498721005,385,0.0050012758001685,False
HIP,17,0.0530390978132217,386,0.0663521438837051,False
HIP,12,0.0224257264868072,387,0.0427192151546478,False
HIP,17,0.0487288176470342,388,0.060388009995222,False
HIP,13,0.0632100472418457,389,0.076270580291748,False
HIP,19,0.0166351874948436,390,0.0240974687039852,False
HIP,11,0.0462379545182159,391,0.0826510936021804,False
HIP,18,0.0167370182371957,392,0.0212590638548135,False
HIP,27,0.08176095473561,393,0.0721635743975639,False
HIP,16,0.0427735154988606,394,0.0786320194602012,False
HIP,21,0.0318463110512673,395,0.0483852326869964,False
HIP,16,0.0100982980137675,396,0.0134452870115637,False
HIP,24,0.052871932499953,397,0.0381104163825511,False
HIP,19,0.0208975723373732,398,0.0230650678277015,False
HIP,23,0.0181772153514397,399,0.0217544548213481,False
HIP,19,0.0535304789784137,400,0.0589051134884357,False
HIP,15,0.0140061926362677,401,0.0323371179401874,False
HIP,21,0.0566193499186429,402,0.050050251185894,False
HIP,13,0.0251428197452859,403,0.0398095212876796,False
HIP,15,0.0275461635980742,404,0.0356987677514553,False
HIP,18,0.0641984941214971,405,0.0725772306323051,False
HIP,22,0.015838329330811,406,0.0147632947191596,False
HIP,28,0.0549882354451277,407,0.0308036487549543,False
HIP,21,0.0170906609077334,408,0.0204796586185693,False
HIP,13,0.0100850437056435,409,0.021560400724411,False
HIP,22,0.0157181968096371,410,0.0123426159843802,False
HIP,16,0.0327677545102028,411,0.0375217422842979,False
HIP,16,0.0260672635392465,412,0.0383632071316242,False
HIP,14,0.2408611985110675,413,0.1960999518632888,False
HIP,11,0.0214737870520986,414,0.0341827161610126,False
HIP,16,0.0647578063252972,415,0.1116486117243766,False
HIP,19,0.0140816476006129,416,0.0314970575273036,False
HIP,9,0.016275682311299,417,0.0369134023785591,False
HIP,20,0.0413798323823274,418,0.0539801903069019,False
HIP,16,0.021885047588975,419,0.0413507148623466,False
HIP,24,0.0231911924361767,420,0.0201052241027355,False
HIP,22,0.0512246982800141,421,0.0456771552562713,False
HIP,17,0.0231253931688055,422,0.0399479679763317,False
HIP,20,0.0115021122723202,423,0.0144579233601689,False
HIP,19,0.0399777704134563,424,0.0515213347971439,False
HIP,16,0.0317479698450242,425,0.039322093129158,False
HIP,19,0.0372857758297621,426,0.0588281862437725,False
HIP,10,0.0201422121094704,427,0.065655879676342,False
HIP,18,0.0113554905913324,428,0.0206018071621656,False
HIP,19,0.0182266553598938,429,0.0242887791246175,False
HIP,20,0.0421795955766589,430,0.0577751621603965,False
HIP,16,0.0257927438006435,431,0.0619580931961536,False
HIP,15,0.0139641815015138,432,0.0162004325538873,False
HIP,22,0.0124151795807121,433,0.0156547334045171,False
HIP,20,0.027205058059791,434,0.0307498853653669,False
HIP,12,0.0291204758968136,435,0.0417852401733398,False
HIP,15,0.029961632927189,436,0.0474962331354618,False
HIP,16,0.1179454250619266,437,0.1890438497066497,False
HIP,17,0.0232739670971977,438,0.0318261571228504,False
HIP,15,0.0294295374078551,439,0.0243629217147827,False
HIP,21,0.0454860001340855,440,0.0437305644154548,False
HIP,20,0.0200232638112603,441,0.0213241446763277,False
HIP,14,0.0403956557374326,442,0.0708100944757461,False
HIP,18,0.0226120699710857,443,0.0369373224675655,False
HIP,12,0.0202813030062516,444,0.0312291905283927,False
HIP,16,0.0180021813059978,445,0.0196084678173065,False
HIP,19,0.0459338553877652,446,0.0806845128536224,False
HIP,18,0.0091047701971612,447,0.0130843091756105,False
HIP,12,0.0152035131915045,448,0.0212349370121955,False
HIP,17,0.0536095309957461,449,0.0487698540091514,False
HIP,11,0.0247317091143618,450,0.0357009135186672,False
HIP,23,0.0121564344461512,451,0.0149353230372071,False
HIP,15,0.0335815549221703,452,0.0667518600821495,False
HIP,13,0.0203822250065056,453,0.060615487396717,False
HIP,14,0.0134747479929247,454,0.030773002654314,False
HIP,15,0.0193334000619442,455,0.0209227241575717,False
HIP,16,0.0308818216464959,456,0.0588029213249683,False
HIP,22,0.0136967492806168,457,0.0134220058098435,False
HIP,16,0.062480461119866,458,0.0592537447810173,False
HIP,22,0.0191149315954132,459,0.0226615965366363,False
HIP,17,0.0209315165964059,460,0.0369108580052852,False
HIP,19,0.0129059147969256,461,0.0167631674557924,False
HIP,21,0.0109587430920562,462,0.0113152479752898,False
HIP,19,0.0426375761500392,463,0.0246212650090456,False
HIP,16,0.0235116762093186,464,0.0321242362260818,False
HIP,20,0.0212577474751979,465,0.0166592095047235,False
HIP,23,0.01802450885304,466,0.0182252153754234,False
HIP,18,0.0189792319126769,467,0.0233950000256299,False
HIP,19,0.0253040540714976,468,0.0425888560712337,False
HIP,16,0.0534906503572317,469,0.0746227651834487,False
HIP,18,0.0309136618530216,470,0.0392538718879222,False
HIP,29,0.0303580268398879,471,0.0097543047741055,False
