Name	Atoms	Format	Source
chno_xyz/n046_pubchem_05_1f8b66a73a	46	xyz	pubchem3d:5869600:C16H28O2
chno_xyz/n046_pubchem_06_73d62a77c5	46	xyz	pubchem3d:5355293:C16H28O2
chno_xyz/n046_pubchem_07_234fc5db1d	46	xyz	pubchem3d:564550:C16H28O2
chno_xyz/n046_pubchem_08_0a0aee7260	46	xyz	pubchem3d:5362579:C16H28O2
chno_xyz/n046_pubchem_09_e00fc09b59	46	xyz	pubchem3d:12571389:C16H28O2
chno_xyz/n046_pubchem_10_2138a0cb4b	46	xyz	pubchem3d:10422352:C16H28O2
chno_xyz/n047_pubchem_01_51e196b23f	47	xyz	pubchem3d:6443006:C16H29NO
chno_xyz/n047_pubchem_02_d238e881be	47	xyz	pubchem3d:6440480:C16H29NO
chno_xyz/n047_pubchem_03_bee604697e	47	xyz	pubchem3d:5318023:C16H29NO
chno_xyz/n047_pubchem_04_623bc20e21	47	xyz	pubchem3d:3448281:C16H29NO
chno_xyz/n047_pubchem_05_0a642180d7	47	xyz	pubchem3d:46935133:C16H29NO
chno_xyz/n047_pubchem_06_17a9ef728c	47	xyz	pubchem3d:5371595:C16H29NO
chno_xyz/n047_pubchem_07_d524fbbd3f	47	xyz	pubchem3d:185577:C16H29NO
chno_xyz/n047_pubchem_08_f7719a974d	47	xyz	pubchem3d:45595908:C16H29NO
chno_xyz/n047_pubchem_09_c2ad51714c	47	xyz	pubchem3d:559669:C16H29NO
chno_xyz/n047_pubchem_10_4ea09f4674	47	xyz	pubchem3d:293647:C16H29NO
chno_xyz/n048_pubchem_01_fc78f4ba9e	48	xyz	pubchem3d:204262:C16H30N2
chno_xyz/n048_pubchem_02_ff7be2fcec	48	xyz	pubchem3d:132472057:C16H30N2
chno_xyz/n048_pubchem_03_950031b754	48	xyz	pubchem3d:297756:C16H30N2
chno_xyz/n048_pubchem_04_826bd10afb	48	xyz	pubchem3d:72205510:C16H30N2
chno_xyz/n048_pubchem_05_055d62caa2	48	xyz	pubchem3d:12922720:C16H30N2
chno_xyz/n048_pubchem_06_563e529fd0	48	xyz	pubchem3d:15099906:C16H30N2
chno_xyz/n048_pubchem_07_b94db7ab28	48	xyz	pubchem3d:10890345:C16H30N2
chno_xyz/n048_pubchem_08_a96fe5d9d5	48	xyz	pubchem3d:442494:C16H30N2
chno_xyz/n048_pubchem_09_68626f3de9	48	xyz	pubchem3d:3527750:C16H30N2
chno_xyz/n048_pubchem_10_199cd84b9e	48	xyz	pubchem3d:21847234:C16H30N2
chno_xyz/n049_pubchem_01_1c3daa3b50	49	xyz	pubchem3d:5372477:C17H30O2
chno_xyz/n049_pubchem_02_517da73867	49	xyz	pubchem3d:5282198:C17H30O2
chno_xyz/n049_pubchem_03_edb622e997	49	xyz	pubchem3d:16070752:C17H30O2
chno_xyz/n049_pubchem_04_d6ffcd455f	49	xyz	pubchem3d:22600366:C17H30O2
chno_xyz/n049_pubchem_05_1d1290bdf5	49	xyz	pubchem3d:10264944:C17H30O2
chno_xyz/n049_pubchem_06_5f66e9ad36	49	xyz	pubchem3d:6450452:C17H30O2
chno_xyz/n049_pubchem_07_ffaea0d26d	49	xyz	pubchem3d:1712162:C17H30O2
chno_xyz/n049_pubchem_08_42763feb90	49	xyz	pubchem3d:87266713:C17H30O2
chno_xyz/n049_pubchem_09_4348574b20	49	xyz	pubchem3d:18503915:C17H30O2
chno_xyz/n049_pubchem_10_8719005978	49	xyz	pubchem3d:18523719:C17H30O2
chno_xyz/n050_pubchem_01_71c81f815c	50	xyz	pubchem3d:76969111:C17H31NO
chno_xyz/n050_pubchem_02_08bff2999f	50	xyz	pubchem3d:71851:C17H31NO
chno_xyz/n050_pubchem_03_3e0d5a418c	50	xyz	pubchem3d:15925762:C17H31NO
chno_xyz/n050_pubchem_04_b1d871cedd	50	xyz	pubchem3d:134156534:C17H31NO
chno_xyz/n050_pubchem_05_dee3ab7f4a	50	xyz	pubchem3d:2867109:C17H31NO
chno_xyz/n050_pubchem_06_48e76b1d51	50	xyz	pubchem3d:155538030:C17H31NO
chno_xyz/n050_pubchem_07_7360e95a34	50	xyz	pubchem3d:12049946:C17H31NO
chno_xyz/n050_pubchem_08_ed3d2baa7b	50	xyz	pubchem3d:44283782:C17H31NO
chno_xyz/n050_pubchem_09_46048bec6f	50	xyz	pubchem3d:44284125:C17H31NO
chno_xyz/n050_pubchem_10_cac5338a1a	50	xyz	pubchem3d:145966314:C17H31NO
PubChem_5280344	51	sdf	zinc_molecules
chno_xyz/n051_pubchem_02_e19a35009e	51	xyz	pubchem3d:15745325:C17H32N2
chno_xyz/n051_pubchem_03_5f359fa0bb	51	xyz	pubchem3d:3016846:C17H32N2
chno_xyz/n051_pubchem_04_f78ad866fc	51	xyz	pubchem3d:46203792:C17H32N2
chno_xyz/n051_pubchem_05_cabaeb83e7	51	xyz	pubchem3d:72671759:C17H32N2
chno_xyz/n051_pubchem_06_48a885f40a	51	xyz	pubchem3d:156013159:C17H32N2
chno_xyz/n051_pubchem_07_055353c0a2	51	xyz	pubchem3d:163026406:C17H32N2
chno_xyz/n051_pubchem_08_a1c4124982	51	xyz	pubchem3d:2913053:C17H32N2
chno_xyz/n051_pubchem_09_5cf573b69b	51	xyz	pubchem3d:573082:C17H32N2
chno_xyz/n051_pubchem_10_087564ace0	51	xyz	pubchem3d:742567:C17H32N2
PubChem_5281675	52	sdf	zinc_molecules
chno_xyz/n052_pubchem_02_2637971b43	52	xyz	pubchem3d:5280450:C18H32O2
chno_xyz/n052_pubchem_03_1f20f1eb1c	52	xyz	pubchem3d:5282457:C18H32O2
chno_xyz/n052_pubchem_04_c7c75a3435	52	xyz	pubchem3d:5280644:C18H32O2
chno_xyz/n052_pubchem_05_01ac7e505f	52	xyz	pubchem3d:5282800:C18H32O2
chno_xyz/n052_pubchem_06_e0b68111a7	52	xyz	pubchem3d:5282796:C18H32O2
chno_xyz/n052_pubchem_07_0952aaa42b	52	xyz	pubchem3d:10416:C18H32O2
chno_xyz/n052_pubchem_08_0ae5e6b666	52	xyz	pubchem3d:1449:C18H32O2
chno_xyz/n052_pubchem_09_9d65bd3209	52	xyz	pubchem3d:68167:C18H32O2
chno_xyz/n052_pubchem_10_a2fa4ff871	52	xyz	pubchem3d:5363265:C18H32O2
PubChem_5280349	53	sdf	zinc_molecules
PubChem_5281673	53	sdf	zinc_molecules
chno_xyz/n053_pubchem_03_590adbb87f	53	xyz	pubchem3d:6435901:C18H33NO
